optimization_applied,fallback_reason,verification_method,query_evaluation_basis,query_complexity_unit,largest_intermediate,promotion_count,family,n,rqm_available,rqm_method,exact_valid,abs_error,C_R,rqm_work_units,rqm_ops,rqm_depth,qiskit_ops,qiskit_depth,rqm_compile_ns,rqm_readout_ns,qiskit_compile_ns,aer_execute_ns,end_to_end_speedup,compile_speedup
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,1,0,local,4,True,general_pauli_promoted,True,0.0,16,1,4,1,12,3,1095904,452581,3567608,568332,2.6709590341527365,3.2554019330160306
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,1,0,local,8,True,general_pauli_promoted,True,4.336808689942018e-18,32,1,8,1,24,3,2213151,774488,4617471,1104027,1.9150566718402056,2.0863786519763
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,1,0,local,12,True,general_pauli_promoted,True,2.1141942363467336e-18,48,1,12,1,36,3,3739504,1298275,4936994,1706410,1.318716839305575,1.3202269605808685
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,1,0,clifford,4,True,general_pauli_promoted,True,1.3877787807814457e-17,31,1,9,5,28,12,1234590,1414918,4782811,673489,2.059363474275224,3.8740075652645816
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,1,0,clifford,8,True,general_pauli_promoted,True,6.938893903907228e-18,65,1,19,9,58,16,1633231,2850255,4582033,1023778,1.2503241897041721,2.805502099825438
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,1,0,clifford,12,True,general_pauli_promoted,True,1.2468324983583301e-18,99,1,29,13,88,20,2537461,4351851,4432911,2764828,1.0447689116126544,1.7469868502412451
True,,REGIONAL_COMPOSITION,verified_equivalent_input,leaf_transfers,16,0,star,4,True,direct_star_relational,True,3.3306690738754696e-16,41,3,14,11,46,20,3117442,533852,5309220,867325,1.6916044010698672,1.7030693754687336
True,,REGIONAL_COMPOSITION,verified_equivalent_input,leaf_transfers,16,0,star,8,True,direct_star_relational,True,0.0,85,7,30,23,104,38,4201099,875959,6503743,1572912,1.590814010791289,1.548105150580836
True,,REGIONAL_COMPOSITION,verified_equivalent_input,leaf_transfers,16,0,star,12,True,direct_star_relational,True,1.3322676295501878e-15,129,11,46,35,161,55,5557990,1479704,5832277,4615273,1.484513251073434,1.0493500348147442
True,,REGIONAL_COMPOSITION,verified_equivalent_input,edge_transfers,16,0,chain,4,True,chain_boundary_transfer,True,7.771561172376096e-16,25,3,10,10,48,23,2099793,897620,4250331,888758,1.7145081441896728,2.0241666678572603
True,,REGIONAL_COMPOSITION,verified_equivalent_input,edge_transfers,16,0,chain,8,True,chain_boundary_transfer,True,1.3322676295501878e-15,53,7,22,22,108,47,2410945,1695053,4500772,1657577,1.4998421820955588,1.866808243240721
True,,REGIONAL_COMPOSITION,verified_equivalent_input,edge_transfers,16,0,chain,12,True,chain_boundary_transfer,True,9.992007221626409e-16,81,11,34,34,168,71,2868242,2701075,4985631,4243491,1.6571371318960655,1.7382183930086792
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,1,0,clifford_t,4,True,general_pauli_promoted,True,4.163336342344337e-17,33,1,9,5,16,7,1546863,1121924,4112808,556034,1.7494247386546773,2.6588055955828023
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,1,0,clifford_t,8,True,general_pauli_promoted,True,4.336808689942018e-18,65,1,18,9,33,11,2070470,2145180,4604917,770392,1.2750842693297593,2.2240925973329726
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,1,0,clifford_t,12,True,general_pauli_promoted,True,0.0,97,1,27,12,50,14,3405198,3468182,6427464,1988287,1.2243977489968545,1.8875448652325062
True,,REGIONAL_COMPOSITION,verified_equivalent_input,complex_tensor_entries,16,0,hardware_efficient,4,True,topology_hardware_1d,True,8.881784197001252e-16,50,16,14,7,45,15,2239070,2924896,4790202,884882,1.0989778011706506,2.139371256816446
True,,REGIONAL_COMPOSITION,verified_equivalent_input,complex_tensor_entries,32,0,hardware_efficient,8,True,topology_hardware_1d,True,1.5543122344752192e-15,106,32,30,11,94,20,3904108,6495931,4365822,1355659,0.5501403408198757,1.118263634100286
True,,REGIONAL_COMPOSITION,verified_equivalent_input,complex_tensor_entries,32,0,hardware_efficient,12,True,topology_hardware_1d,True,2.1094237467877974e-15,162,32,46,15,141,23,5854019,10696077,4473822,3860984,0.5036107343425682,0.7642308643002355
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,18,0,random_sparse,4,True,general_pauli_promoted,True,1.249000902703301e-16,38,18,14,9,48,22,2488028,5762773,4511547,863340,0.6514382058178352,1.8133023422565984
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,36,0,random_sparse,8,True,general_pauli_promoted,True,1.8648277366750676e-17,76,36,28,12,89,28,4410337,14124156,5114581,1662334,0.3656380026149083,1.159680314678901
True,,REGIONAL_COMPOSITION,verified_equivalent_input,pauli_terms,801,0,random_sparse,12,True,general_pauli_promoted,True,8.131516293641283e-19,114,801,42,20,150,52,9384511,55090344,5091758,4388234,0.14703394059591138,0.5425704120331896
